type,data
hash,6a475700bc2812146e3f99560dea5bfdbd1c568f80ff65806883ec8dbbad9c30
hash,5225D4EC1C327AE504605AAAC54ECEEFCDF4A90BDC6291F694DFA70B9CFE0FF2
file,%USERNAME%\Documents\WindowsUpdate.locked
domain,202.181.194.227
